ticker,yr,fecha,f4,sector,ret,ps,mcap,mom,r40,sdmb,sdcr,mb,cr
ENDPQ,2007,2007-02-22,2008-02-22,desconocido,-17.65,4.7800,4348.2,11.00,0.1874,0.01437,0.27284,0.7770,0.0776
ENS,2007,2007-02-07,2008-02-06,Industrials,56.12,0.5400,779.8,-2.52,0.2304,0.00903,0.05602,0.2035,0.1743
ENTG,2007,2007-02-13,2008-02-12,Technology,-31.30,2.1600,1466.0,-1.55,-0.0567,0.06785,0.56207,0.4129,-0.1642
ENZ,2007,2007-03-12,2008-03-11,desconocido,-38.58,12.4800,495.1,16.75,-0.8225,0.04519,0.12360,0.5419,-0.0426
ENZB,2007,2007-03-12,2008-06-09,desconocido,-31.34,12.4800,495.1,16.75,-0.8225,0.04519,0.12360,0.5419,-0.0426
ENZN,2007,2007-02-13,2008-02-14,desconocido,0.56,2.0800,386.2,14.49,-0.1676,0.02710,0.03270,0.6823,0.0776
EPAC,2007,2007-03-22,2008-03-19,Industrials,13.66,1.2500,1656.6,3.97,0.3437,0.00969,0.11459,0.3233,0.2355
EPC,2007,2007-01-23,2008-01-29,Consumer Defensive,11.89,1.1600,3658.3,16.56,0.2942,0.01403,0.02914,0.4735,0.0870
EQIX,2007,2007-02-07,2008-02-13,Real Estate,-14.01,8.4800,2433.0,40.98,0.4289,0.04240,0.03594,0.3690,0.2909
EQT,2007,2007-01-25,2008-01-31,Energy,28.55,2.2400,2840.1,23.74,0.5715,0.04391,0.17337,0.4830,0.2617
ERIE,2007,2007-02-26,2008-02-27,Financial Services,-7.49,2.7200,3240.2,7.54,0.2241,0.03748,0.05515,0.1707,0.0078
ES,2007,2007-02-19,2008-02-20,Utilities,-6.63,0.6500,4481.0,24.43,-0.1685,0.03875,0.13766,0.3626,-0.2109
ESIO,2007,2007-01-05,2008-01-25,desconocido,-16.08,2.5700,566.3,-41.26,0.7285,0.03277,1.13729,0.4093,0.6288
ESLT,2007,2007-03-14,2008-03-11,Industrials,72.80,0.9100,1386.2,11.37,0.4985,0.01812,0.16455,0.2144,0.4526
ET,2007,2007-01-16,2008-01-09,Energy,10.44,0.7000,4758.4,4.36,-0.3590,0.04018,0.49962,0.2169,-0.4332
